Date,Time,Type,Name,Emoji,Category,Amount,Currency,Notes and #tags
30/04/2026,09:00:00,Faster payment,EMPLOYER LTD,💼,Income,2750.00,GBP,Salary April
29/04/2026,18:42:00,Card payment,Tesco,🛒,Food,-48.20,GBP,Weekly shop
29/04/2026,12:15:00,Card payment,Pret a Manger,☕,Food,-7.85,GBP,Lunch
28/04/2026,21:03:00,Card payment,Netflix,📺,Entertainment,-10.99,GBP,Subscription
27/04/2026,08:30:00,Card payment,TfL,🚇,Transportation,-12.40,GBP,Travel
26/04/2026,16:20:00,Card payment,Boots Pharmacy,💊,Healthcare,-22.50,GBP,Vitamins
25/04/2026,13:45:00,Card payment,Uber,🚖,Transportation,-14.90,GBP,Ride home
24/04/2026,11:00:00,Direct Debit,British Gas,⚡,Utilities,-98.00,GBP,Monthly bill
22/04/2026,09:15:00,Faster payment,LANDLORD,🏠,Housing,-1450.00,GBP,Rent
20/04/2026,19:30:00,Card payment,Spotify,🎵,Entertainment,-9.99,GBP,Premium
