Date,Narrative,Debit,Credit,Balance
30/04/2026,SALARY ACME LTD,,2850.00,3412.55
29/04/2026,TESCO SUPERSTORE,52.40,,562.55
28/04/2026,TFL TRAVEL CHARGE,8.40,,614.95
27/04/2026,NETFLIX.COM,10.99,,623.35
26/04/2026,COSTA COFFEE 4521,4.85,,634.34
25/04/2026,TRANSFER FROM SAVINGS,,200.00,639.19
24/04/2026,BRITISH GAS DD,98.50,,439.19
23/04/2026,SAINSBURYS LOCAL,18.75,,537.69
22/04/2026,AMAZON UK MARKETPLACE,34.99,,556.44
21/04/2026,SPOTIFY UK,9.99,,591.43
20/04/2026,UBER TRIP,12.40,,601.42
19/04/2026,RENT - LANDLORD,1200.00,,613.82
18/04/2026,ARGOS RETAIL,29.99,,1813.82
15/04/2026,EE MOBILE CHARGE,28.00,,1843.81
